crop_path,label,label_name,source_image,source_relative_path,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,object_label,wheel_position,side,visibility,crop_quality,box_source,image_split,vehicle_type,viewpoint,notes,sample_id,dataset_name,dataset_root,crop_rel_path,crop_abs_path,row_idx,file_exists,image_width,image_height,aspect_ratio,file_size_bytes,md5,is_tiny,is_huge,is_corrupt,quality_flags,split
valid_wheel_candidate/20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj000__label1.jpg,1,valid_wheel_candidate,C:\Users\dual-\Downloads\wheel_labeling_nikolai_70\images\20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,1729,1440,2020,1714,1685,1399,2064,1755,wheel,unknown,unknown,unknown,good,imported_xml,unassigned,6_wheeler,unknown,,labeled_crops_70_000000,labeled_crops_70,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70,valid_wheel_candidate/20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj000__label1.jpg,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70\valid_wheel_candidate\20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj000__label1.jpg,0,True,379,356,1.0646067415730338,64480,64fd88c5afa97f3669b2e00418fda817,False,False,False,,train
valid_wheel_candidate/20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj001__label1.jpg,1,valid_wheel_candidate,C:\Users\dual-\Downloads\wheel_labeling_nikolai_70\images\20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,102,1378,334,1493,67,1361,369,1510,wheel,unknown,unknown,unknown,good,imported_xml,unassigned,6_wheeler,unknown,,labeled_crops_70_000001,labeled_crops_70,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70,valid_wheel_candidate/20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj001__label1.jpg,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70\valid_wheel_candidate\20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj001__label1.jpg,1,True,302,149,2.0268456375838926,22575,6e0fc592301c3202313cdc269682fb3a,False,False,False,,train
valid_wheel_candidate/20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj002__label1.jpg,1,valid_wheel_candidate,C:\Users\dual-\Downloads\wheel_labeling_nikolai_70\images\20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,2057,1444,2368,1706,2010,1405,2415,1745,wheel,unknown,unknown,unknown,good,imported_xml,unassigned,6_wheeler,unknown,,labeled_crops_70_000002,labeled_crops_70,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70,valid_wheel_candidate/20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj002__label1.jpg,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70\valid_wheel_candidate\20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj002__label1.jpg,2,True,405,340,1.1911764705882353,63552,d7be501c9a8315fbd77be8830a8ef88b,False,False,False,,train
valid_wheel_candidate/20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj003__label1.jpg,1,valid_wheel_candidate,C:\Users\dual-\Downloads\wheel_labeling_nikolai_70\images\20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,387,1386,559,1490,361,1370,585,1506,wheel,unknown,unknown,unknown,good,imported_xml,unassigned,6_wheeler,unknown,,labeled_crops_70_000003,labeled_crops_70,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70,valid_wheel_candidate/20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj003__label1.jpg,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70\valid_wheel_candidate\20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj003__label1.jpg,3,True,224,136,1.6470588235294117,16277,5c02c47c9f63624c4b8d6881e4e8a3f9,False,False,False,,train
valid_wheel_candidate/20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj004__label1.jpg,1,valid_wheel_candidate,C:\Users\dual-\Downloads\wheel_labeling_nikolai_70\images\20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,693,1436,972,1710,651,1395,1014,1751,wheel,unknown,unknown,unknown,good,imported_xml,unassigned,6_wheeler,unknown,,labeled_crops_70_000004,labeled_crops_70,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70,valid_wheel_candidate/20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj004__label1.jpg,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70\valid_wheel_candidate\20210405_18_10_19_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj004__label1.jpg,4,True,363,356,1.0196629213483146,60160,3c00f519cb3dbd1785e97cff41beaa5a,False,False,False,,train
valid_wheel_candidate/20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj000__label1.jpg,1,valid_wheel_candidate,C:\Users\dual-\Downloads\wheel_labeling_nikolai_70\images\20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,2236,1173,2448,1459,2204,1130,2448,1502,wheel,unknown,unknown,unknown,good,imported_xml,unassigned,6_wheeler,unknown,,labeled_crops_70_000005,labeled_crops_70,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70,valid_wheel_candidate/20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj000__label1.jpg,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70\valid_wheel_candidate\20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj000__label1.jpg,5,True,244,372,0.6559139784946236,34307,6910a464446189f6356e0f58bcd8de1f,False,False,False,,test
valid_wheel_candidate/20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj001__label1.jpg,1,valid_wheel_candidate,C:\Users\dual-\Downloads\wheel_labeling_nikolai_70\images\20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,1971,1181,2239,1475,1931,1137,2279,1519,wheel,unknown,unknown,unknown,good,imported_xml,unassigned,6_wheeler,unknown,,labeled_crops_70_000006,labeled_crops_70,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70,valid_wheel_candidate/20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj001__label1.jpg,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70\valid_wheel_candidate\20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj001__label1.jpg,6,True,348,382,0.9109947643979057,63830,357afcf201759293a0981ee352b7fce1,False,False,False,,test
valid_wheel_candidate/20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj002__label1.jpg,1,valid_wheel_candidate,C:\Users\dual-\Downloads\wheel_labeling_nikolai_70\images\20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,750,1180,1103,1532,697,1127,1156,1585,wheel,unknown,unknown,unknown,good,imported_xml,unassigned,6_wheeler,unknown,,labeled_crops_70_000007,labeled_crops_70,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70,valid_wheel_candidate/20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj002__label1.jpg,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70\valid_wheel_candidate\20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj002__label1.jpg,7,True,459,458,1.002183406113537,76800,97ec81889e5232d2193ff0b0a01832c5,False,False,False,,test
invalid_candidate/20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj003__label0.jpg,0,invalid_candidate,C:\Users\dual-\Downloads\wheel_labeling_nikolai_70\images\20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,700,1267,758,1378,691,1250,767,1395,non_wheel_candidate,unknown,unknown,unknown,good,imported_xml,unassigned,6_wheeler,unknown,,labeled_crops_70_000008,labeled_crops_70,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70,invalid_candidate/20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj003__label0.jpg,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70\invalid_candidate\20210406_10_17_14_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj003__label0.jpg,8,True,76,145,0.5241379310344828,5387,6a3fb45a9241800d454c5960e750bb5b,False,False,False,,test
valid_wheel_candidate/20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj000__label1.jpg,1,valid_wheel_candidate,C:\Users\dual-\Downloads\wheel_labeling_nikolai_70\images\20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,389,1239,408,1275,386,1234,411,1280,wheel,unknown,unknown,unknown,slightly_blurry,imported_xml,unassigned,6_wheeler,unknown,,labeled_crops_70_000009,labeled_crops_70,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70,valid_wheel_candidate/20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj000__label1.jpg,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70\valid_wheel_candidate\20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj000__label1.jpg,9,True,25,46,0.5434782608695652,1387,335a008d59d381a8d2e65a0ebc8e1869,True,False,False,tiny_crop,validation
valid_wheel_candidate/20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj001__label1.jpg,1,valid_wheel_candidate,C:\Users\dual-\Downloads\wheel_labeling_nikolai_70\images\20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,760,1292,920,1552,736,1253,944,1591,wheel,unknown,unknown,unknown,good,imported_xml,unassigned,6_wheeler,unknown,,labeled_crops_70_000010,labeled_crops_70,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70,valid_wheel_candidate/20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj001__label1.jpg,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70\valid_wheel_candidate\20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj001__label1.jpg,10,True,208,338,0.6153846153846154,32244,4812635499e9dcb3d7ebfe921418cc5b,False,False,False,,validation
invalid_candidate/20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj002__label0.jpg,0,invalid_candidate,C:\Users\dual-\Downloads\wheel_labeling_nikolai_70\images\20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,506,1234,524,1275,503,1228,527,1281,non_wheel_candidate,unknown,unknown,unknown,good,imported_xml,unassigned,6_wheeler,unknown,,labeled_crops_70_000011,labeled_crops_70,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70,invalid_candidate/20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj002__label0.jpg,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70\invalid_candidate\20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj002__label0.jpg,11,True,24,53,0.4528301886792453,1160,f5a88576b62de583f5e3b8357b47a210,True,False,False,tiny_crop,validation
invalid_candidate/20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj003__label0.jpg,0,invalid_candidate,C:\Users\dual-\Downloads\wheel_labeling_nikolai_70\images\20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,138,1185,168,1211,134,1181,172,1215,non_wheel_candidate,unknown,unknown,unknown,good,imported_xml,unassigned,6_wheeler,unknown,,labeled_crops_70_000012,labeled_crops_70,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70,invalid_candidate/20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj003__label0.jpg,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70\invalid_candidate\20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj003__label0.jpg,12,True,38,34,1.1176470588235294,1433,73ac98134526625d22356cdda17bd45b,False,False,False,,validation
valid_wheel_candidate/20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj004__label1.jpg,1,valid_wheel_candidate,C:\Users\dual-\Downloads\wheel_labeling_nikolai_70\images\20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg,1544,1423,1953,1951,1483,1344,2014,2030,wheel,unknown,unknown,unknown,good,imported_xml,unassigned,6_wheeler,unknown,,labeled_crops_70_000013,labeled_crops_70,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70,valid_wheel_candidate/20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj004__label1.jpg,C:\Users\user\Downloads\transformers\ass3\labeled_crops_70\valid_wheel_candidate\20210407_10_34_55_000_2sQ7uoDSHQakPcTTKy9Ikfs5wWs1_F_3264_2448.jpg__obj004__label1.jpg,13,True,531,686,0.7740524781341108,170199,e13a14fe148ce79915dee9fd1d468879,False,False,False,,validation
